iter	Logloss
0	0.6438912245
1	0.6003775523
2	0.5625831869
3	0.5307320869
4	0.501097229
5	0.4751921113
6	0.4526471102
7	0.4327423546
8	0.4157119535
9	0.4005840487
10	0.3867210501
11	0.3744960284
12	0.3635500821
13	0.3534051027
14	0.3444485867
15	0.3366529285
16	0.3298216492
17	0.3234678007
18	0.3175861905
19	0.3117255265
20	0.3066962908
21	0.3017577213
22	0.2976496938
23	0.2936450474
24	0.2898816202
25	0.2864574643
26	0.2834751969
27	0.280472426
28	0.2776427899
29	0.2748489625
30	0.272401565
31	0.2700163619
32	0.2680627857
33	0.2660612493
34	0.2640574156
35	0.2622508465
36	0.2605502872
37	0.258974473
38	0.2574835857
39	0.2561107159
40	0.2546391616
41	0.2533981809
42	0.2521345903
43	0.2510058988
44	0.2499055693
45	0.2487635543
46	0.2477579682
47	0.2467344792
48	0.2458516707
49	0.2449275517
50	0.2440309844
51	0.2431818876
52	0.2422869154
53	0.2414420354
54	0.2406634861
55	0.2398811217
56	0.2391427906
57	0.2384655683
58	0.2377749477
59	0.237121789
60	0.2364893766
61	0.2358000299
62	0.2352709724
63	0.2347054114
64	0.2340890486
65	0.2334890431
66	0.2328984891
67	0.2324758232
68	0.2319772004
69	0.231511247
70	0.2309657353
71	0.2304998484
72	0.2299914042
73	0.2295264267
74	0.2291425772
75	0.2287077982
76	0.2282418427
77	0.2278584894
78	0.2275654427
79	0.227144885
80	0.2268108753
81	0.2264467514
82	0.2260786421
83	0.2257203577
84	0.2253639729
85	0.2250105343
86	0.224699844
87	0.2243977766
88	0.2240860767
89	0.2237541385
90	0.2234299679
91	0.2231326106
92	0.2228589825
93	0.2225352042
94	0.222241015
95	0.2218524044
96	0.2215823046
97	0.2212932041
98	0.2210531995
99	0.2207693144
100	0.2204888992
101	0.22023354
102	0.2199715621
103	0.2197578512
104	0.2194500507
105	0.2191564912
106	0.2188859782
107	0.2186031601
108	0.2183307014
109	0.2181189478
110	0.2179000131
111	0.2176799831
112	0.2174726989
113	0.2172504569
114	0.2170618345
115	0.2168146183
116	0.2165802799
117	0.2163451023
118	0.2161258451
119	0.2159143458
120	0.2157239961
121	0.2155098246
122	0.2153095876
123	0.2151123904
124	0.2149239176
125	0.2147109602
126	0.2144877949
127	0.214306165
128	0.2141299124
129	0.2139648986
130	0.2137363868
131	0.2135571186
132	0.2133343926
133	0.21312468
134	0.2129370797
135	0.2127863711
136	0.2126128666
137	0.2124308536
138	0.212231154
139	0.2120659561
140	0.211908745
141	0.2117615735
142	0.2115791788
