iter	Passed	Remaining
0	18	36938
1	35	34978
2	51	34257
3	68	34235
4	84	33714
5	101	33741
6	118	33674
7	134	33465
8	151	33461
9	166	33188
10	183	33124
11	199	33032
12	215	32945
13	231	32908
14	248	32890
15	265	32865
16	282	32930
17	298	32822
18	314	32784
19	331	32774
20	346	32620
21	362	32565
22	388	33384
23	404	33338
24	420	33220
25	436	33160
26	452	33068
27	468	33013
28	484	32920
29	500	32870
30	517	32853
31	533	32798
32	548	32715
33	564	32620
34	580	32585
35	595	32514
36	611	32435
37	627	32391
38	643	32353
39	659	32294
40	674	32229
41	690	32176
42	706	32137
43	721	32064
44	736	32006
45	751	31924
46	767	31892
47	782	31823
48	796	31732
49	811	31655
50	827	31623
51	842	31579
52	859	31556
53	874	31513
54	890	31475
55	905	31442
56	920	31364
57	935	31318
58	951	31306
59	966	31255
60	982	31219
61	997	31190
62	1012	31119
63	1027	31093
64	1043	31059
65	1059	31039
66	1074	31003
67	1090	30969
68	1107	30981
69	1122	30949
70	1137	30914
71	1153	30894
72	1169	30880
73	1186	30890
74	1202	30872
75	1219	30876
76	1235	30863
77	1252	30864
78	1267	30826
79	1283	30797
80	1299	30780
81	1314	30750
82	1330	30719
83	1345	30689
84	1361	30671
85	1376	30638
86	1392	30625
87	1408	30598
88	1424	30585
89	1440	30563
90	1455	30539
91	1472	30534
92	1487	30504
93	1503	30481
94	1519	30467
95	1534	30441
96	1550	30408
97	1565	30387
98	1580	30350
99	1595	30322
100	1612	30312
101	1627	30285
102	1643	30261
103	1658	30227
104	1672	30188
105	1688	30165
106	1703	30141
107	1721	30150
108	1735	30109
109	1749	30064
110	1765	30040
111	1780	30008
112	1795	29983
113	1811	29965
114	1827	29948
115	1843	29936
116	1858	29911
117	1875	29906
118	1890	29886
119	1905	29852
120	1921	29835
121	1937	29827
122	1953	29806
123	1967	29773
124	1983	29752
125	2000	29751
126	2015	29717
127	2030	29698
128	2045	29667
129	2061	29652
130	2077	29634
131	2093	29620
132	2109	29613
133	2125	29598
134	2142	29594
135	2157	29574
136	2172	29545
137	2188	29523
138	2203	29504
139	2219	29488
140	2234	29465
141	2249	29434
142	2266	29429
143	2283	29427
144	2298	29408
145	2314	29389
146	2330	29375
147	2346	29357
148	2362	29344
149	2377	29325
150	2392	29301
151	2408	29288
152	2425	29278
153	2441	29262
154	2457	29254
155	2473	29242
156	2489	29221
157	2504	29194
158	2519	29177
159	2535	29154
160	2551	29138
161	2566	29116
162	2581	29098
163	2598	29089
164	2613	29069
165	2629	29055
166	2646	29047
167	2662	29030
168	2678	29017
169	2693	28990
170	2710	28986
171	2726	28976
172	2742	28961
173	2758	28946
174	2773	28920
175	2787	28887
176	2803	28875
177	2819	28864
178	2835	28843
179	2850	28821
180	2866	28805
181	2883	28802
182	2898	28774
183	2913	28757
184	2928	28730
185	2944	28717
186	2961	28711
187	2975	28677
188	2990	28650
189	3005	28633
190	3021	28616
191	3036	28589
192	3051	28568
193	3066	28549
194	3082	28536
195	3099	28523
196	3114	28504
197	3129	28480
198	3144	28460
199	3160	28442
200	3176	28429
201	3191	28411
202	3207	28395
203	3222	28373
204	3237	28346
205	3252	28326
206	3268	28308
207	3283	28287
208	3298	28263
209	3313	28242
210	3328	28223
211	3343	28195
212	3358	28176
213	3372	28149
214	3387	28123
215	3402	28099
216	3417	28077
217	3433	28065
218	3449	28048
219	3464	28031
220	3482	28031
221	3498	28018
222	3513	27998
223	3528	27978
224	3543	27956
225	3559	27938
226	3575	27926
227	3591	27909
228	3606	27889
229	3620	27864
230	3635	27843
231	3651	27827
232	3666	27805
233	3682	27788
234	3697	27773
235	3713	27755
236	3728	27736
237	3744	27724
238	3761	27717
239	3777	27698
240	3794	27692
241	3810	27680
242	3825	27660
243	3841	27647
244	3857	27631
245	3872	27611
246	3888	27599
247	3906	27594
248	3923	27593
249	3938	27567
250	3954	27558
251	3969	27535
252	3985	27517
253	4001	27506
254	4016	27488
255	4031	27464
256	4046	27444
257	4060	27416
258	4074	27389
259	4088	27362
260	4103	27343
261	4119	27324
262	4133	27302
263	4149	27289
264	4164	27267
265	4179	27247
266	4194	27227
267	4212	27221
268	4227	27206
269	4242	27185
270	4259	27174
271	4273	27150
272	4288	27129
273	4303	27110
274	4318	27091
275	4334	27076
276	4351	27068
277	4366	27045
278	4382	27034
279	4397	27011
280	4414	27004
281	4429	26984
282	4444	26964
283	4460	26949
284	4474	26927
285	4489	26907
286	4503	26880
287	4518	26862
288	4534	26847
289	4550	26830
290	4565	26814
291	4582	26804
292	4597	26784
293	4613	26771
294	4628	26748
295	4644	26738
296	4659	26715
297	4676	26709
298	4690	26686
299	4706	26668
300	4722	26655
301	4738	26639
302	4753	26620
303	4768	26600
304	4783	26581
305	4798	26561
306	4811	26531
307	4826	26512
308	4841	26492
309	4855	26472
310	4871	26454
311	4886	26437
312	4902	26421
313	4917	26402
314	4931	26382
315	4947	26366
316	4964	26358
317	4979	26335
318	4994	26317
319	5010	26304
320	5027	26296
321	5043	26282
322	5058	26265
323	5074	26248
324	5089	26231
325	5105	26219
326	5122	26206
327	5138	26192
328	5155	26183
329	5170	26165
330	5188	26161
331	5202	26138
332	5217	26116
333	5232	26099
334	5248	26084
335	5264	26069
336	5278	26046
337	5293	26027
338	5308	26012
339	5324	25996
340	5340	25980
341	5353	25955
342	5370	25943
343	5386	25928
344	5401	25911
345	5415	25889
346	5430	25871
347	5446	25857
348	5462	25840
349	5476	25817
350	5492	25805
351	5507	25783
352	5522	25767
353	5539	25758
354	5556	25746
355	5571	25729
356	5588	25719
357	5603	25702
358	5619	25685
359	5633	25664
360	5648	25646
361	5662	25623
362	5677	25605
363	5693	25589
364	5708	25572
365	5722	25547
366	5737	25531
367	5752	25512
368	5768	25498
369	5784	25483
370	5799	25464
371	5816	25455
372	5833	25443
373	5848	25428
374	5864	25414
375	5878	25391
376	5895	25379
377	5910	25360
378	5924	25340
379	5940	25323
380	5956	25309
381	5972	25295
382	5987	25277
383	6003	25263
384	6017	25243
385	6033	25226
386	6048	25209
387	6063	25193
388	6079	25176
389	6094	25157
390	6109	25142
391	6124	25123
392	6140	25110
393	6158	25104
394	6175	25091
395	6190	25075
396	6205	25057
397	6220	25038
398	6235	25021
399	6252	25011
400	6267	24992
401	6283	24976
402	6298	24958
403	6313	24942
404	6328	24921
405	6343	24904
406	6357	24883
407	6373	24869
408	6389	24853
409	6404	24836
410	6420	24824
411	6437	24811
412	6452	24794
413	6468	24779
414	6482	24759
415	6500	24750
416	6514	24731
417	6529	24713
418	6544	24694
419	6562	24686
420	6577	24669
421	6591	24648
422	6607	24633
423	6623	24618
424	6637	24598
425	6653	24581
426	6668	24564
427	6683	24547
428	6697	24527
429	6714	24514
430	6729	24497
431	6743	24477
432	6758	24460
433	6775	24446
434	6790	24431
435	6806	24416
436	6821	24398
437	6838	24385
438	6853	24368
439	6868	24353
440	6884	24337
441	6898	24315
442	6913	24297
443	6928	24280
444	6943	24264
445	6960	24251
446	6976	24238
447	6992	24222
448	7008	24208
449	7022	24188
450	7038	24173
451	7054	24160
452	7068	24139
453	7083	24121
454	7098	24103
455	7113	24087
456	7129	24071
457	7145	24058
458	7161	24044
459	7175	24022
460	7191	24007
461	7208	23995
462	7222	23975
463	7237	23958
464	7251	23937
465	7266	23920
466	7280	23900
467	7296	23884
468	7311	23868
469	7327	23852
470	7342	23834
471	7356	23814
472	7371	23796
473	7385	23777
474	7401	23763
475	7416	23746
476	7432	23729
477	7448	23715
478	7463	23699
479	7478	23683
480	7494	23667
481	7508	23647
482	7524	23633
483	7540	23617
484	7556	23604
485	7572	23589
486	7587	23573
487	7603	23559
488	7618	23541
489	7634	23526
490	7649	23510
491	7663	23489
492	7678	23471
493	7693	23455
494	7708	23435
495	7722	23417
496	7736	23397
497	7753	23383
498	7767	23365
499	7782	23346
500	7797	23330
501	7813	23315
502	7830	23303
503	7845	23287
504	7860	23270
505	7876	23254
506	7892	23240
507	7908	23225
508	7922	23207
509	7936	23187
510	7952	23172
511	7967	23155
512	7983	23141
513	7997	23122
514	8012	23104
515	8027	23086
516	8044	23075
517	8060	23059
518	8074	23042
519	8090	23026
520	8104	23007
521	8120	22992
522	8136	22979
523	8152	22963
524	8168	22948
525	8183	22932
526	8198	22915
527	8213	22898
528	8229	22883
529	8243	22864
530	8258	22846
531	8273	22830
532	8288	22812
533	8303	22795
